date,Bank Description,Spent,received,From/To,Transaction Posted
"09/09/2025","Anthropic","£6.31","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £6.31"
"09/09/2025","Anthropic","£6.03","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £6.03"
"09/09/2025","Anthropic","£4.77","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £4.77"
"09/09/2025","Anthropic","£6.77","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £6.77"
"09/09/2025","Anthropic","£5.10","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £5.10"
"09/09/2025","Anthropic","£4.86","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £4.86"
"09/09/2025","Anthropic","£4.97","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £4.97"
"09/09/2025","Anthropic","£5.54","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £5.54"
"09/09/2025","Anthropic","£6.82","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £6.82"
"09/09/2025","Anthropic","£6.13","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £6.13"
"09/09/2025","Anthropic","£5.50","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £5.50"
"09/09/2025","Anthropic","£6.80","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £6.80"
"09/09/2025","Anthropic","£6.10","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £6.10"
"09/09/2025","Anthropic","£4.83","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £4.83"
"09/09/2025","Anthropic","£5.59","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £5.59"
"09/09/2025","Anthropic","£5.17","","Anthropic","Added to:  Expense: Subscriptions 09/09/2025 £5.17"
"08/09/2025","Anthropic","£4.46","","Anthropic","Added to:  Expense: Subscriptions 08/09/2025 £4.46"
"08/09/2025","Anthropic","£5.10","","Anthropic","Added to:  Expense: Subscriptions 08/09/2025 £5.10"
"08/09/2025","Anthropic","£5.19","","Anthropic","Added to:  Expense: Subscriptions 08/09/2025 £5.19"
"08/09/2025","Anthropic","£4.93","","Anthropic","Added to:  Expense: Subscriptions 08/09/2025 £4.93"
"08/09/2025","Anthropic","£5.55","","Anthropic","Added to:  Expense: Subscriptions 08/09/2025 £5.55"
"08/09/2025","Anthropic","£4.88","","Anthropic","Added to:  Expense: Subscriptions 08/09/2025 £4.88"
"08/09/2025","Anthropic","£5.77","","Anthropic","Added to:  Expense: Subscriptions 08/09/2025 £5.77"
"08/09/2025","Anthropic","£4.44","","Anthropic","Added to:  Expense: Subscriptions 08/09/2025 £4.44"
"08/09/2025","Anthropic","£4.68","","Anthropic","Added to:  Expense: Subscriptions 08/09/2025 £4.68"
"08/09/2025","Anthropic","£4.76","","Anthropic","Added to:  Expense: Subscriptions 08/09/2025 £4.76"
"07/09/2025","Anthropic 0.04","£4.54","","Anthropic","Added to:  Expense: Subscriptions 07/09/2025 £4.54"
"07/09/2025","Anthropic 0.05","£4.93","","Anthropic","Added to:  Expense: Subscriptions 07/09/2025 £4.93"
"07/09/2025","Anthropic 0.05","£4.71","","Anthropic","Added to:  Expense: Subscriptions 07/09/2025 £4.71"
"07/09/2025","Anthropic 0.05","£5.07","","Anthropic","Added to:  Expense: Subscriptions 07/09/2025 £5.07"
"06/09/2025","Anthropic 0.05","£4.84","","Anthropic","Added to:  Expense: Subscriptions 06/09/2025 £4.84"
"05/09/2025","Anthropic","£4.61","","Anthropic","Added to:  Expense: Subscriptions 05/09/2025 £4.61"
"05/09/2025","Anthropic","£4.67","","Anthropic","Added to:  Expense: Subscriptions 05/09/2025 £4.67"
"05/09/2025","3dprintuk Limited","£109.40","","3dprint uk","Added to:  Expense: Monitoring Hardware 05/09/2025 £109.40"
"05/09/2025","Edmund Optics Ltd Ecom","£139.72","","edmund optics","Added to:  Expense: Monitoring Hardware 05/09/2025 £139.72"
"05/09/2025","Simply Bearings Ltd","£13.38","","simply bearings","Added to:  Expense: Monitoring Hardware 05/09/2025 £13.38"
"05/09/2025","accu.co.uk","£12.30","","accu.co.uk","Added to:  Expense: Monitoring Hardware 05/09/2025 £12.30"
"05/09/2025","Openai *chatgpt Subscr","£14.84","","Open ai","Added to:  Expense: Subscriptions 05/09/2025 £14.84"
"05/09/2025","Atlassian","£22.08","","atlassian","Added to:  Expense: Subscriptions 05/09/2025 £22.08"
"04/09/2025","To Seagrown limited","£1,798.80","","Seagrown Limited","Added to:  Expense: Refund 04/09/2025 £1,798.80"
"04/09/2025","cutmy.co.uk","£175.12","","Cut My Co","Added to:  Expense: Sundry expenses 04/09/2025 £175.12"
"02/09/2025","To Excel precision engineering ltd","£6,683.04","","Excel precision engineering","Added to:  Expense: Monitoring Hardware 02/09/2025 £6,683.04"
"02/09/2025","Payment from Plant Ecology Beyond Land Pebl Ci","","£10,000.00","","Added to:  Transfer: PLANT ECOLOGY BEYOND LAND (PEBL) CI (6388) 02/09/2025 £10,000.00"
"01/09/2025","Google Cloud 87dvzv","£0.04","","Google Cloud","Added to:  Expense: Computer running costs 01/09/2025 £0.04"
"01/09/2025","www.succorfish.com","£1,938.00","","Succorfish","Added to:  Expense: Monitoring Electronics 01/09/2025 £1,938.00"
"01/09/2025","Sqk Accountancy","£36.00","","sqk accountancy","Added to:  Expense: Accountancy Fees 01/09/2025 £36.00"
"31/08/2025","Shell","£126.11","","Shell","Added to:  Expense: Travelling expenses 31/08/2025 £126.11"
"31/08/2025","Amznmktplace","£179.90","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 31/08/2025 £179.90"
"31/08/2025","Admiral","£842.88","","admiral","Added to:  Expense: Insurance 31/08/2025 £842.88"
"30/08/2025","Google *google One","£18.99","","google","Added to:  Expense: Subscriptions 30/08/2025 £18.99"
"29/08/2025","To Gocardless","£36.00","","sqk accountancy","Added to:  Expense: Accountancy Fees 29/08/2025 £36.00"
"27/08/2025","Shell","£98.73","","Shell","Added to:  Expense: Travelling expenses 27/08/2025 £98.73"
"26/08/2025","Refund from Aliexpress","","£89.89","AliExpress","Added to:  Deposit: Monitoring Hardware 26/08/2025 £89.89"
"25/08/2025","Amznmktplace","£4.99","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 25/08/2025 £4.99"
"24/08/2025","Company Free plan fee 10.00","£10.00","","revolut","Added to:  Expense: Bank charges 24/08/2025 £10.00"
"24/08/2025","Expenses app charges","£10.00","","revolut","Added to:  Expense: Bank charges 24/08/2025 £10.00"
"18/08/2025","Figma","£21.60","","Figma","Added to:  Expense: Subscriptions 18/08/2025 £21.60"
"16/08/2025","Royal Mail Group Ltd","£16.10","","Royal Mail","Added to:  Expense: Courier and delivery charges 16/08/2025 £16.10"
"15/08/2025","Amznmktplace","£12.21","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 15/08/2025 £12.21"
"15/08/2025","Royal Mail Group Ltd","£23.70","","Royal Mail Group Ltd","Added to:  Expense: Courier and delivery charges 15/08/2025 £23.70"
"13/08/2025","Merchant payout to an internal account","","£1,898.02","Cerulean Inc","Added to:  Deposit: Refund 13/08/2025 £1,898.02"
"12/08/2025","Premier Farnell","£86.40","","CPC Farnell","Added to:  Expense: Monitoring equipment 12/08/2025 £86.40"
"12/08/2025","To CARYMOR","£600.00","","carymor","Added to:  Expense: Motor running expenses 12/08/2025 £600.00"
"12/08/2025","To Anjali Krishna","£528.75","","anjali krishna","Added to:  Expense: Employees Salaries 12/08/2025 £528.75"
"11/08/2025","Simply Bearings Ltd","£20.91","","simply bearings","Added to:  Expense: Monitoring Hardware 11/08/2025 £20.91"
"08/08/2025","Morr Newcastle Under L","£25.68","","Morr Newcastle","Added to:  Expense: Sundry expenses 08/08/2025 £25.68"
"06/08/2025","To Athira Siva Prasad","£74.62","","Athira Siva Prasad","Added to:  Expense: Payroll Expenses:Wages 06/08/2025 £74.62"
"06/08/2025","amazon.co.uk","£49.99","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 06/08/2025 £49.99"
"05/08/2025","Ibuypower Aft 1.73","£1,252.96","","iBUYPOWER","Added to:  Expense: Sundry expenses 05/08/2025 £1,252.96"
"05/08/2025","Amznmktplace","£19.49","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 05/08/2025 £19.49"
"05/08/2025","Claude.ai Subscription","£180.00","","","Added to:  Expense: Subscriptions 05/08/2025 £180.00"
"05/08/2025","Post Office Counter","£7.36","","post office","Added to:  Expense: Printing, postage and stationery 05/08/2025 £7.36"
"05/08/2025","Openai *chatgpt Subscr","£15.05","","Open ai","Added to:  Expense: Subscriptions 05/08/2025 £15.05"
"05/08/2025","Atlassian","£22.36","","atlassian","Added to:  Expense: Subscriptions 05/08/2025 £22.36"
"04/08/2025","Payment from Plant Ecology Beyond Land Pebl Ci","","£5,000.00","","Added to:  Transfer: PLANT ECOLOGY BEYOND LAND (PEBL) CI (6388) 04/08/2025 £5,000.00"
"02/08/2025","Post Office Counter","£10.00","","post office","Added to:  Expense: Printing, postage and stationery 02/08/2025 £10.00"
"02/08/2025","Post Office Counter","£19.55","","post office","Added to:  Expense: Printing, postage and stationery 02/08/2025 £19.55"
"01/08/2025","robotshop.com","£24.71","","Robotshop","Added to:  Expense: Monitoring Hardware 01/08/2025 £24.71"
"01/08/2025","To Dvla-lf68ofg","£345.00","","DVLA","Added to:  Expense: Motor running expenses 01/08/2025 £345.00"
"31/07/2025","Royal Mail Group Limit","£4.29","","Royal Mail Group Ltd","Added to:  Expense: Courier and delivery charges 31/07/2025 £4.29"
"31/07/2025","Premier Farnell","£143.57","","CPC Farnell","Added to:  Expense: Monitoring equipment 31/07/2025 £143.57"
"31/07/2025","Sp Totalcool Ltd","£275.00","","Totalcool Ltd","Added to:  Expense: Monitoring Hardware 31/07/2025 £275.00"
"31/07/2025","To Gocardless","£36.00","","sqk accountancy","Added to:  Expense: Accountancy Fees 31/07/2025 £36.00"
"30/07/2025","Sqk Accountancy","£36.00","","sqk accountancy","Added to:  Expense: Accountancy Fees 30/07/2025 £36.00"
"30/07/2025","Google *google One","£18.99","","google","Added to:  Expense: Subscriptions 30/07/2025 £18.99"
"29/07/2025","The Pi Hut","£75.80","","PiHut","Added to:  Expense: Monitoring Hardware 29/07/2025 £75.80"
"29/07/2025","Premier Farnell","£42.32","","CPC Farnell","Added to:  Expense: Monitoring equipment 29/07/2025 £42.32"
"29/07/2025","Marshalls Garage Fallo","£479.41","","Marshalls Garage","Added to:  Expense: Motor running expenses 29/07/2025 £479.41"
"29/07/2025","Aliexpress","£102.40","","AliExpress","Added to:  Expense: Hatchery Hardware 29/07/2025 £102.40"
"29/07/2025","accu.co.uk","£27.90","","accu.co.uk","Added to:  Expense: Monitoring Hardware 29/07/2025 £27.90"
"28/07/2025","Simply Bearings Ltd","£89.92","","simply bearings","Added to:  Expense: Monitoring Hardware 28/07/2025 £89.92"
"28/07/2025","Westfield Fasteners Lt","£23.08","","Westfield Fasteners","Added to:  Expense: Monitoring Hardware 28/07/2025 £23.08"
"28/07/2025","accu.co.uk","£120.06","","accu.co.uk","Added to:  Expense: Monitoring Hardware 28/07/2025 £120.06"
"28/07/2025","3dprintuk Limited","£198.12","","3dprint uk","Added to:  Expense: Monitoring Hardware 28/07/2025 £198.12"
"28/07/2025","Post Office Counter","£24.54","","post office","Added to:  Expense: Printing, postage and stationery 28/07/2025 £24.54"
"28/07/2025","Evri Limited","£4.79","","evri","Added to:  Expense: Printing, postage and stationery 28/07/2025 £4.79"
"25/07/2025","Bp Moto Tiverton Servi","£82.88","","Bp Moto Tiverton","Added to:  Expense: Travelling expenses 25/07/2025 £82.88"
"24/07/2025","Eg On The Move Roundsw","£28.99","","On The Move","Added to:  Expense: Office expenses, repairs & maintenance 24/07/2025 £28.99"
"24/07/2025","Company Free plan fee 10.00","£10.00","","revolut","Added to:  Expense: Bank charges 24/07/2025 £10.00"
"24/07/2025","Expenses app charges","£10.00","","revolut","Added to:  Expense: Bank charges 24/07/2025 £10.00"
"24/07/2025","amazon.co.uk","£19.49","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 24/07/2025 £19.49"
"23/07/2025","Royal Mail Group Ltd","£4.29","","post office","Added to:  Expense: Courier and delivery charges 23/07/2025 £4.29"
"22/07/2025","amazon.co.uk","£109.57","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 22/07/2025 £109.57"
"22/07/2025","Refund from Ebay O*16-13340-15590","","£13.49","Ebay","Added to:  Deposit: Monitoring Hardware 22/07/2025 £13.49"
"21/07/2025","Ebay O*16-13340-15590","£13.49","","Ebay","Added to:  Expense: Office expenses, repairs & maintenance 21/07/2025 £13.49"
"21/07/2025","Admiral","£30.70","","admiral","Added to:  Expense: Travelling expenses 21/07/2025 £30.70"
"19/07/2025","B & Q Warehouse","£118.35","","B&Q","Added to:  Expense: Monitoring Hardware 19/07/2025 £118.35"
"19/07/2025","Decathlon Uk Limited","£85.48","","decathlon","Added to:  Expense: Monitoring Hardware 19/07/2025 £85.48"
"19/07/2025","Dpd Online Uk","£6.95","","DPD","Added to:  Expense: Printing, postage and stationery 19/07/2025 £6.95"
"18/07/2025","Home Plus Savers","£9.90","","Home Savers Plus","Added to:  Expense: Office expenses, repairs & maintenance 18/07/2025 £9.90"
"18/07/2025","Figma","£21.60","","Figma","Added to:  Expense: Subscriptions 18/07/2025 £21.60"
"16/07/2025","To Pembrokeshire Coastal Forum Community Interest Company","£75.00","","Pembrokeshire Coastal Forum","Added to:  Expense: Rent 16/07/2025 £75.00"
"14/07/2025","The Metal Store","£180.96","","Metal Supermarket UK","Added to:  Expense: Monitoring Hardware 14/07/2025 £180.96"
"14/07/2025","Ebay O*14-13314-12664","£12.54","","Ebay","Added to:  Expense: Office expenses, repairs & maintenance 14/07/2025 £12.54"
"13/07/2025","To Christian Berger","£100.25","","Director - Christian Berger","Added to:  Expense: Travelling expenses 13/07/2025 £100.25"
"10/07/2025","To Anjali Krishna","£758.74","","anjali krishna","Added to:  Expense: Employees Salaries 10/07/2025 £758.74"
"09/07/2025","The Hero","£9.00","","The Hero","Added to:  Expense: Travelling expenses 09/07/2025 £9.00"
"09/07/2025","The Hero","£22.00","","The Hero","Added to:  Expense: Travelling expenses 09/07/2025 £22.00"
"08/07/2025","Shell","£103.14","","Shell","Added to:  Expense: Travelling expenses 08/07/2025 £103.14"
"07/07/2025","Payment from Algapelago Marine Limited","","£2,541.60","algapalego","Added to:  Deposit: Sales 07/07/2025 £2,541.60"
"05/07/2025","Evri Limited","£4.79","","evri","Added to:  Expense: Printing, postage and stationery 05/07/2025 £4.79"
"03/07/2025","Corran Ferry","£12.00","","Corran Ferry","Added to:  Expense: Travelling expenses 03/07/2025 £12.00"
"03/07/2025","Amznmktplace","£9.98","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 03/07/2025 £9.98"
"02/07/2025","Zettle_*birch","£7.00","","Birch foods","Added to:  Expense: Travelling expenses 02/07/2025 £7.00"
"02/07/2025","Ewen Macrae West End G","£88.77","","Ewen Macrae West End","Added to:  Expense: Travelling expenses 02/07/2025 £88.77"
"02/07/2025","Amznmktplace","£12.98","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 02/07/2025 £12.98"
"02/07/2025","Ebay O*18-13261-51359","£7.58","","Ebay","Added to:  Expense: Office expenses, repairs & maintenance 02/07/2025 £7.58"
"01/07/2025","Calmac Ferries","£20.50","","Calmac ferries","Added to:  Expense: Travelling expenses 01/07/2025 £20.50"
"01/07/2025","Marine Stores","£31.99","","Marine stores","Added to:  Expense: Monitoring Hardware 01/07/2025 £31.99"
"01/07/2025","Sq *isle Of Skye Exper","£7.50","","Isle of skye exper","Added to:  Expense: Travelling expenses 01/07/2025 £7.50"
"01/07/2025","Marine Stores","£33.47","","","Added to:  Expense: Monitoring Hardware 01/07/2025 £33.47"
"01/07/2025","Co-Op Group Food Retai","£15.75","","co-op","Added to:  Expense: Travelling expenses 01/07/2025 £15.75"
