date,Bank Description,Spent,received,From/To,Transaction Posted
"14/11/2025","Claude.ai Subscription","£18.00","","Claude.ai","Added to:  Expense: Subscriptions 14/11/2025 £18.00"
"13/11/2025","3dprintuk Limited","£116.40","","3dprint uk","Added to:  Expense: Monitoring Hardware 13/11/2025 £116.40"
"13/11/2025","Edmund Optics Ltd Ecom","£267.93","","edmund optics","Added to:  Expense: Monitoring Hardware 13/11/2025 £267.93"
"12/11/2025","Simply Bearings Ltd","£15.53","","simply bearings","Added to:  Expense: Monitoring Hardware 12/11/2025 £15.53"
"12/11/2025","Dkc Digi-Key Corp","£27.31","","digi-key","Added to:  Expense: Monitoring Hardware 12/11/2025 £27.31"
"12/11/2025","Royal Mail Group Limit","£4.45","","Royal Mail Group Ltd","Added to:  Expense: Courier and delivery charges 12/11/2025 £4.45"
"12/11/2025","Refund from Trainline","","£42.00","Trainline","Added to:  Deposit: Travelling expenses 12/11/2025 £42.00"
"11/11/2025","Royal Mail Group Limit","£10.75","","Royal Mail Group Ltd","Added to:  Expense: Courier and delivery charges 11/11/2025 £10.75"
"11/11/2025","Dpd Online Uk","£27.05","","DPD","Added to:  Expense: Printing, postage and stationery 11/11/2025 £27.05"
"11/11/2025","Shirehampton High Stre","£3.15","","Shirehampton High Street","Added to:  Expense: Travelling expenses 11/11/2025 £3.15"
"11/11/2025","Atlassian 0.10","£16.78","","atlassian","Added to:  Expense: Subscriptions 11/11/2025 £16.78"
"10/11/2025","Trainline","£48.89","","Trainline","Added to:  Expense: Travelling expenses 10/11/2025 £48.89"
"10/11/2025","Dpd Online Uk","£5.45","","DPD","Added to:  Expense: Printing, postage and stationery 10/11/2025 £5.45"
"10/11/2025","Tbs Skip Hire Recycl","£432.00","","TBS Skip Hire Recycling","Added to:  Expense: Office expenses, repairs & maintenance 10/11/2025 £432.00"
"10/11/2025","To Jessy chang limited 22.71","£1,214.65","","jessy chang","Added to:  Expense: Monitoring Hardware 10/11/2025 £1,214.65"
"09/11/2025","Claude.ai Subscription","£90.00","","Claude.ai","Added to:  Expense: Subscriptions 09/11/2025 £90.00"
"06/11/2025","Westfield Fasteners Lt","£9.65","","Westfield Fasteners","Added to:  Expense: Monitoring Hardware 06/11/2025 £9.65"
"06/11/2025","Simply Bearings Ltd","£37.39","","simply bearings","Added to:  Expense: Monitoring Hardware 06/11/2025 £37.39"
"06/11/2025","Dpd Online Uk","£27.05","","DPD","Added to:  Expense: Printing, postage and stationery 06/11/2025 £27.05"
"05/11/2025","Openai *chatgpt Subscr","£15.35","","Open ai","Added to:  Expense: Subscriptions 05/11/2025 £15.35"
"05/11/2025","Atlassian","£28.03","","atlassian","Added to:  Expense: Subscriptions 05/11/2025 £28.03"
"04/11/2025","Dpd Online Uk","£5.45","","DPD","Added to:  Expense: Printing, postage and stationery 04/11/2025 £5.45"
"03/11/2025","amazon.co.uk","£77.64","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 03/11/2025 £77.64"
"01/11/2025","Google Cloud Gc93m7","£0.05","","Google Cloud","Added to:  Expense: Subscriptions 01/11/2025 £0.05"
"31/10/2025","Gocardless","£36.00","","sqk accountancy","Added to:  Expense: Accountancy Fees 31/10/2025 £36.00"
"30/10/2025","Sqk Accountancy","£36.00","","sqk accountancy","Added to:  Expense: Accountancy Fees 30/10/2025 £36.00"
"30/10/2025","Google *google One","£18.99","","Google Cloud","Added to:  Expense: Subscriptions 30/10/2025 £18.99"
"29/10/2025","amazon.co.uk","£24.18","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 29/10/2025 £24.18"
"29/10/2025","Embeddedloop","£1,400.00","","Embeddedloop","Added to:  Expense: Sundry expenses 29/10/2025 £1,400.00"
"29/10/2025","Grampian Fasteners","£66.78","","Grampian Fasteners","Added to:  Expense: Sundry expenses 29/10/2025 £66.78"
"29/10/2025","amazon.co.uk","£13.98","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 29/10/2025 £13.98"
"28/10/2025","To Fractory UK ltd","£123.66","","Fractory UK Ltd","Added to:  Expense: Technical Consultancy 28/10/2025 £123.66"
"28/10/2025","Dpd Online Uk","£27.35","","DPD","Added to:  Expense: Printing, postage and stationery 28/10/2025 £27.35"
"28/10/2025","Rovmaker","£216.78","","Rovmaker","Added to:  Expense: Monitoring Hardware 28/10/2025 £216.78"
"28/10/2025","Payment from Plant Ecology Beyond Land Pebl Ci","","£10,000.00","","Matched to:  Transfer: PLANT ECOLOGY BEYOND LAND (PEBL) CI (6388) 17/10/2025 £10,000.00"
"27/10/2025","Royal Mail Group Limit","£4.75","","Royal Mail Group Ltd","Added to:  Expense: Courier and delivery charges 27/10/2025 £4.75"
"24/10/2025","Expenses app charges","£10.00","","revolut","Added to:  Expense: Bank charges 24/10/2025 £10.00"
"24/10/2025","Company Free plan fee 10.00","£10.00","","","Added to:  Expense: Bank charges 24/10/2025 £10.00"
"22/10/2025","Back Market Uk Ltd","£261.49","","back market","Added to:  Expense: Office expenses, repairs & maintenance 22/10/2025 £261.49"
"22/10/2025","Royal Yachting Assoc","£47.00","","Royal Yachting Association","Added to:  Expense: Sundry expenses 22/10/2025 £47.00"
"21/10/2025","Graphskill Ubolts-R-Us","£160.80","","graphskill","Added to:  Expense: Monitoring Hardware 21/10/2025 £160.80"
"21/10/2025","accu.co.uk","£23.70","","accu.co.uk","Added to:  Expense: Monitoring Hardware 21/10/2025 £23.70"
"21/10/2025","Fractory","£142.92","","Fractory","Added to:  Expense: Monitoring Hardware 21/10/2025 £142.92"
"21/10/2025","3dprintuk Limited","£256.46","","3dprint uk","Added to:  Expense: Monitoring Hardware 21/10/2025 £256.46"
"18/10/2025","Figma","£21.60","","Figma","Added to:  Expense: Subscriptions 18/10/2025 £21.60"
"17/10/2025","To Oxalis Design Ltd","£1,440.00","","oxalis design","Added to:  Expense: Technical Consultancy 17/10/2025 £1,440.00"
"17/10/2025","Post Office Counter","£5.74","","post office","Added to:  Expense: Printing, postage and stationery 17/10/2025 £5.74"
"17/10/2025","Trainline","£206.99","","Trainline","Added to:  Expense: Travelling expenses 17/10/2025 £206.99"
"16/10/2025","Atlassian","£15.20","","atlassian","Added to:  Expense: Subscriptions 16/10/2025 £15.20"
"14/10/2025","Claude.ai Subscription","£18.00","","","Added to:  Expense: Subscriptions 14/10/2025 £18.00"
"13/10/2025","To Salah Attalhi","£25.00","","Salah Attalhi","Added to:  Expense: Repairs and maintenance 13/10/2025 £25.00"
"10/10/2025","Mfg Tawe","£101.77","","Mfg Tawe","Added to:  Expense: Travelling expenses 10/10/2025 £101.77"
"09/10/2025","Claude.ai Subscription","£17.24","","","Added to:  Expense: Subscriptions 09/10/2025 £17.24"
"09/10/2025","W M Morrisons","£11.00","","Morrisons Petrol","Added to:  Expense: Travelling expenses 09/10/2025 £11.00"
"09/10/2025","The Really Wild Empori","£6.70","","The Really Wild Emporium","Added to:  Expense: Travelling expenses 09/10/2025 £6.70"
"08/10/2025","Thebishops","£10.00","","thebishops","Added to:  Expense: Travelling expenses 08/10/2025 £10.00"
"08/10/2025","Thebishops","£84.42","","thebishops","Added to:  Expense: Travelling expenses 08/10/2025 £84.42"
"08/10/2025","St. Davids Rfc Ltd","£11.00","","","Added to:  Expense: Sundry expenses 08/10/2025 £11.00"
"08/10/2025","Ck Foodstores","£16.97","","ck foodstore","Added to:  Expense: Travelling expenses 08/10/2025 £16.97"
"07/10/2025","amazon.co.uk","£86.98","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 07/10/2025 £86.98"
"05/10/2025","Openai *chatgpt Subscr 0.15","£15.01","","Open ai","Added to:  Expense: Subscriptions 05/10/2025 £15.01"
"05/10/2025","Atlassian 0.25","£24.77","","atlassian","Added to:  Expense: Subscriptions 05/10/2025 £24.77"
"01/10/2025","Google*cloud 2w76bk","£0.05","","google","Added to:  Expense: Subscriptions 01/10/2025 £0.05"
"01/10/2025","To Anjali Krishna","£817.00","","anjali krishna","Added to:  Expense: Employees Salaries 01/10/2025 £817.00"
"01/10/2025","amazon.co.uk","£7.49","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 01/10/2025 £7.49"
"01/10/2025","Sq *da Coffi","£2.48","","Da Coffi","Added to:  Expense: Entertaining 01/10/2025 £2.48"
"01/10/2025","www.ncp.co.uk","£4.95","","National Car Park","Added to:  Expense: Travelling expenses 01/10/2025 £4.95"
"30/09/2025","Rs Components","£38.42","","rs components","Added to:  Expense: Monitoring Hardware 30/09/2025 £38.42"
"30/09/2025","Www.gaelforcemar","£252.48","","Gael Force Marine","Added to:  Expense: Monitoring Hardware 30/09/2025 £252.48"
"30/09/2025","To Applied Genomics ltd","£5,790.00","","Applied Genomics Ltd","Added to:  Expense: Technical Consultancy 30/09/2025 £5,790.00"
"30/09/2025","Payment from Plant Ecology Beyond Land Pebl Ci","","£5,000.00","","Matched to:  Transfer: PLANT ECOLOGY BEYOND LAND (PEBL) CI (6388) 30/09/2025 £5,000.00"
"30/09/2025","Sqk Accountancy","£36.00","","sqk accountancy","Added to:  Expense: Accountancy Fees 30/09/2025 £36.00"
"30/09/2025","Gocardless","£36.00","","sqk accountancy","Added to:  Expense: Accountancy Fees 30/09/2025 £36.00"
"29/09/2025","Payment from Plant Ecology Beyond Land Pebl Ci","","£5,000.00","","Matched to:  Transfer: PLANT ECOLOGY BEYOND LAND (PEBL) CI (6388) 29/09/2025 £5,000.00"
"29/09/2025","Mol*the It Bay","£799.99","","The It Bay","Added to:  Expense: Office expenses, repairs & maintenance 29/09/2025 £799.99"
"29/09/2025","Amznmktplace","£6.99","","Amazon","Added to:  Expense: Office expenses, repairs & maintenance 29/09/2025 £6.99"
"29/09/2025","Ground Control Technol","£39.60","","Ground Control Technologies","Added to:  Expense: Monitoring Hardware 29/09/2025 £39.60"
"29/09/2025","Google *google One","£18.99","","google","Added to:  Expense: Subscriptions 29/09/2025 £18.99"
